"","confCase","confCaseRate","createDt","criticalRate","death","deathRate","gubun","seq","updateDt"
"662",1301,5.49,"2020-09-29 14:18:28.08",0,0,"0.00","10-19",3675,"null"
"663",4754,20.06,"2020-09-29 14:18:28.08",0,0,"0.00","20-29",3674,"null"
"664",2888,12.19,"2020-09-29 14:18:28.079",0.07,2,"0.49","30-39",3673,"null"
"665",3158,13.33,"2020-09-29 14:18:28.079",0.13,4,"0.98","40-49",3672,"null"
"666",4395,18.55,"2020-09-29 14:18:28.079",0.43,19,"4.67","50-59",3671,"null"
"667",3764,15.88,"2020-09-29 14:18:28.079",1.17,44,"10.81","60-69",3670,"null"
"668",1897,8,"2020-09-29 14:18:28.079",7.01,133,"32.68","70-79",3669,"null"
"669",969,4.09,"2020-09-29 14:18:28.079",21.16,205,"50.37","80 이상",3668,"null"
"670",12812,54.06,"2020-09-29 14:18:28.079",1.49,191,"46.93","여성",3667,"null"
"671",10887,45.94,"2020-09-29 14:18:28.079",1.98,216,"53.07","남성",3666,"null"
"672",572,2.42,"2020-09-28 14:15:38.283",0,0,"0.00","0-9",3654,"null"
"673",1299,5.49,"2020-09-28 14:15:38.283",0,0,"0.00","10-19",3653,"null"
"674",4746,20.06,"2020-09-28 14:15:38.282",0,0,"0.00","20-29",3652,"null"
"675",2881,12.18,"2020-09-28 14:15:38.282",0.07,2,"0.49","30-39",3651,"null"
"676",3151,13.32,"2020-09-28 14:15:38.282",0.13,4,"0.99","40-49",3650,"null"
"677",4390,18.55,"2020-09-28 14:15:38.282",0.43,19,"4.68","50-59",3649,"null"
"678",3760,15.89,"2020-09-28 14:15:38.282",1.17,44,"10.84","60-69",3648,"null"
"679",1897,8.02,"2020-09-28 14:15:38.282",6.96,132,"32.51","70-79",3647,"null"
"680",965,4.08,"2020-09-28 14:15:38.282",21.24,205,"50.49","80 이상",3646,"null"
"681",12801,54.1,"2020-09-28 14:15:38.282",1.48,190,"46.80","여성",3645,"null"
"682",10860,45.9,"2020-09-28 14:15:38.281",1.99,216,"53.20","남성",3644,"null"
"683",568,2.41,"2020-09-27 14:22:48.573",0,0,"0.00","0-9",3632,"null"
"684",1295,5.48,"2020-09-27 14:22:48.573",0,0,"0.00","10-19",3631,"null"
"685",4741,20.08,"2020-09-27 14:22:48.572",0,0,"0.00","20-29",3630,"null"
"686",2878,12.19,"2020-09-27 14:22:48.572",0.07,2,"0.50","30-39",3629,"null"
"687",3146,13.32,"2020-09-27 14:22:48.572",0.13,4,"1.00","40-49",3628,"null"
"688",4380,18.55,"2020-09-27 14:22:48.572",0.41,18,"4.49","50-59",3627,"null"
"689",3748,15.87,"2020-09-27 14:22:48.572",1.17,44,"10.97","60-69",3626,"null"
"690",1894,8.02,"2020-09-27 14:22:48.572",6.86,130,"32.42","70-79",3625,"null"
"691",961,4.07,"2020-09-27 14:22:48.572",21.12,203,"50.62","80 이상",3624,"null"
"692",12777,54.11,"2020-09-27 14:22:48.572",1.47,188,"46.88","여성",3623,"null"
"693",10834,45.89,"2020-09-27 14:22:48.572",1.97,213,"53.12","남성",3622,"null"
"694",567,2.41,"2020-09-26 14:09:05.525",0,0,"0.00","0-9",3610,"null"
"695",1291,5.49,"2020-09-26 14:09:05.525",0,0,"0.00","10-19",3609,"null"
"696",4727,20.1,"2020-09-26 14:09:05.525",0,0,"0.00","20-29",3608,"null"
"697",2862,12.17,"2020-09-26 14:09:05.524",0.07,2,"0.50","30-39",3607,"null"
"698",3134,13.33,"2020-09-26 14:09:05.524",0.13,4,"1.00","40-49",3606,"null"
"699",4361,18.54,"2020-09-26 14:09:05.524",0.41,18,"4.51","50-59",3605,"null"
"700",3728,15.85,"2020-09-26 14:09:05.524",1.15,43,"10.78","60-69",3604,"null"
"701",1887,8.02,"2020-09-26 14:09:05.524",6.89,130,"32.58","70-79",3603,"null"
"702",959,4.08,"2020-09-26 14:09:05.524",21.06,202,"50.63","80 이상",3602,"null"
"703",12724,54.11,"2020-09-26 14:09:05.524",1.48,188,"47.12","여성",3601,"null"
"704",10792,45.89,"2020-09-26 14:09:05.524",1.96,211,"52.88","남성",3600,"null"
"705",566,2.41,"2020-09-25 14:31:46.078",0,0,"0.00","0-9",3588,"null"
"706",1285,5.48,"2020-09-25 14:31:46.078",0,0,"0.00","10-19",3587,"null"
"707",4720,20.12,"2020-09-25 14:31:46.078",0,0,"0.00","20-29",3586,"null"
"708",2855,12.17,"2020-09-25 14:31:46.078",0.07,2,"0.51","30-39",3585,"null"
"709",3129,13.34,"2020-09-25 14:31:46.078",0.13,4,"1.01","40-49",3584,"null"
"710",4351,18.55,"2020-09-25 14:31:46.077",0.41,18,"4.56","50-59",3583,"null"
"711",3712,15.83,"2020-09-25 14:31:46.077",1.16,43,"10.89","60-69",3582,"null"
"712",1878,8.01,"2020-09-25 14:31:46.077",6.82,128,"32.41","70-79",3581,"null"
"713",959,4.09,"2020-09-25 14:31:46.077",20.86,200,"50.63","80 이상",3580,"null"
"714",12688,54.1,"2020-09-25 14:31:46.077",1.47,187,"47.34","여성",3579,"null"
"715",10767,45.9,"2020-09-25 14:31:46.077",1.93,208,"52.66","남성",3578,"null"
"716",561,2.4,"2020-09-24 14:30:28.378",0,0,"0.00","0-9",3566,"null"
"717",1282,5.49,"2020-09-24 14:30:28.378",0,0,"0.00","10-19",3565,"null"
"718",4708,20.17,"2020-09-24 14:30:28.378",0,0,"0.00","20-29",3564,"null"
"719",2841,12.17,"2020-09-24 14:30:28.378",0.07,2,"0.51","30-39",3563,"null"
"720",3114,13.34,"2020-09-24 14:30:28.378",0.13,4,"1.02","40-49",3562,"null"
"721",4332,18.56,"2020-09-24 14:30:28.378",0.42,18,"4.58","50-59",3561,"null"
"722",3690,15.81,"2020-09-24 14:30:28.378",1.17,43,"10.94","60-69",3560,"null"
"723",1864,7.99,"2020-09-24 14:30:28.378",6.76,126,"32.06","70-79",3559,"null"
"724",949,4.07,"2020-09-24 14:30:28.377",21.07,200,"50.89","80 이상",3558,"null"
"725",12628,54.1,"2020-09-24 14:30:28.377",1.47,186,"47.33","여성",3557,"null"
"726",10713,45.9,"2020-09-24 14:30:28.377",1.93,207,"52.67","남성",3556,"null"
"727",555,2.39,"2020-09-23 14:14:20.925",0,0,"0.00","0-9",3544,"null"
"728",1278,5.5,"2020-09-23 14:14:20.925",0,0,"0.00","10-19",3543,"null"
"729",4693,20.21,"2020-09-23 14:14:20.925",0,0,"0.00","20-29",3542,"null"
"730",2832,12.2,"2020-09-23 14:14:20.925",0.07,2,"0.52","30-39",3541,"null"
"731",3097,13.34,"2020-09-23 14:14:20.925",0.13,4,"1.03","40-49",3540,"null"
"732",4303,18.53,"2020-09-23 14:14:20.925",0.4,17,"4.38","50-59",3539,"null"
"733",3663,15.78,"2020-09-23 14:14:20.925",1.17,43,"11.08","60-69",3538,"null"
"734",1855,7.99,"2020-09-23 14:14:20.925",6.63,123,"31.70","70-79",3537,"null"
"735",940,4.05,"2020-09-23 14:14:20.924",21.17,199,"51.29","80 이상",3536,"null"
"736",12568,54.14,"2020-09-23 14:14:20.924",1.47,185,"47.68","여성",3535,"null"
"737",10648,45.86,"2020-09-23 14:14:20.924",1.91,203,"52.32","남성",3534,"null"
"738",551,2.38,"2020-09-22 14:09:42.241",0,0,"0.00","0-9",3522,"null"
"739",1274,5.51,"2020-09-22 14:09:42.241",0,0,"0.00","10-19",3521,"null"
"740",4684,20.27,"2020-09-22 14:09:42.241",0,0,"0.00","20-29",3520,"null"
"741",2822,12.21,"2020-09-22 14:09:42.24",0.07,2,"0.52","30-39",3519,"null"
"742",3083,13.34,"2020-09-22 14:09:42.24",0.13,4,"1.03","40-49",3518,"null"
"743",4280,18.52,"2020-09-22 14:09:42.24",0.4,17,"4.38","50-59",3517,"null"
"744",3644,15.77,"2020-09-22 14:09:42.24",1.18,43,"11.08","60-69",3516,"null"
"745",1833,7.93,"2020-09-22 14:09:42.24",6.71,123,"31.70","70-79",3515,"null"
"746",935,4.05,"2020-09-22 14:09:42.24",21.28,199,"51.29","80 이상",3514,"null"
"747",12517,54.17,"2020-09-22 14:09:42.24",1.48,185,"47.68","여성",3513,"null"
"748",10589,45.83,"2020-09-22 14:09:42.24",1.92,203,"52.32","남성",3512,"null"
"749",550,2.39,"2020-09-21 14:38:13.781",0,0,"0.00","0-9",3500,"null"
"750",1272,5.52,"2020-09-21 14:38:13.781",0,0,"0.00","10-19",3499,"null"
"751",4678,20.3,"2020-09-21 14:38:13.781",0,0,"0.00","20-29",3498,"null"
"752",2812,12.2,"2020-09-21 14:38:13.781",0.07,2,"0.52","30-39",3497,"null"
"753",3073,13.33,"2020-09-21 14:38:13.781",0.13,4,"1.04","40-49",3496,"null"
"754",4264,18.5,"2020-09-21 14:38:13.781",0.4,17,"4.42","50-59",3495,"null"
"755",3634,15.77,"2020-09-21 14:38:13.78",1.16,42,"10.91","60-69",3494,"null"
"756",1828,7.93,"2020-09-21 14:38:13.78",6.62,121,"31.43","70-79",3493,"null"
"757",934,4.05,"2020-09-21 14:38:13.78",21.31,199,"51.69","80 이상",3492,"null"
"758",12493,54.21,"2020-09-21 14:38:13.78",1.46,183,"47.53","여성",3491,"null"
"759",10552,45.79,"2020-09-21 14:38:13.78",1.91,202,"52.47","남성",3490,"null"
"760",548,2.39,"2020-09-20 14:17:09.143",0,0,"0.00","0-9",3478,"null"
"761",1264,5.52,"2020-09-20 14:17:09.143",0,0,"0.00","10-19",3477,"null"
"762",4653,20.32,"2020-09-20 14:17:09.143",0,0,"0.00","20-29",3476,"null"
"763",2792,12.2,"2020-09-20 14:17:09.143",0.07,2,"0.53","30-39",3475,"null"
"764",3053,13.34,"2020-09-20 14:17:09.142",0.13,4,"1.06","40-49",3474,"null"
"765",4239,18.52,"2020-09-20 14:17:09.142",0.4,17,"4.50","50-59",3473,"null"
"766",3608,15.76,"2020-09-20 14:17:09.142",1.16,42,"11.11","60-69",3472,"null"
"767",1807,7.89,"2020-09-20 14:17:09.142",6.53,118,"31.22","70-79",3471,"null"
"768",929,4.06,"2020-09-20 14:17:09.142",20.99,195,"51.59","80 이상",3470,"null"
"769",12425,54.27,"2020-09-20 14:17:09.142",1.44,179,"47.35","여성",3469,"null"
"770",10468,45.73,"2020-09-20 14:17:09.142",1.9,199,"52.65","남성",3468,"null"
"771",548,2.39,"2020-09-19 14:20:21.163",0,0,"0.00","0-9",3456,"null"
"772",1264,5.52,"2020-09-19 14:20:21.163",0,0,"0.00","10-19",3455,"null"
"773",4653,20.32,"2020-09-19 14:20:21.163",0,0,"0.00","20-29",3454,"null"
"774",2792,12.2,"2020-09-19 14:20:21.163",0.07,2,"0.53","30-39",3453,"null"
"775",3053,13.34,"2020-09-19 14:20:21.163",0.13,4,"1.06","40-49",3452,"null"
"776",4239,18.52,"2020-09-19 14:20:21.163",0.4,17,"4.50","50-59",3451,"null"
"777",3608,15.76,"2020-09-19 14:20:21.163",1.16,42,"11.11","60-69",3450,"null"
"778",1807,7.89,"2020-09-19 14:20:21.163",6.53,118,"31.22","70-79",3449,"null"
"779",929,4.06,"2020-09-19 14:20:21.162",20.99,195,"51.59","80 이상",3448,"null"
"780",12425,54.27,"2020-09-19 14:20:21.162",1.44,179,"47.35","여성",3447,"null"
"781",10468,45.73,"2020-09-19 14:20:21.162",1.9,199,"52.65","남성",3446,"null"
"782",547,2.4,"2020-09-18 14:16:12.06",0,0,"0.00","0-9",3434,"null"
"783",1259,5.53,"2020-09-18 14:16:12.06",0,0,"0.00","10-19",3433,"null"
"784",4647,20.4,"2020-09-18 14:16:12.06",0,0,"0.00","20-29",3432,"null"
"785",2785,12.22,"2020-09-18 14:16:12.06",0.07,2,"0.53","30-39",3431,"null"
"786",3044,13.36,"2020-09-18 14:16:12.06",0.13,4,"1.06","40-49",3430,"null"
"787",4204,18.45,"2020-09-18 14:16:12.06",0.4,17,"4.51","50-59",3429,"null"
"788",3582,15.72,"2020-09-18 14:16:12.06",1.17,42,"11.14","60-69",3428,"null"
"789",1792,7.87,"2020-09-18 14:16:12.059",6.58,118,"31.30","70-79",3427,"null"
"790",923,4.05,"2020-09-18 14:16:12.059",21.02,194,"51.46","80 이상",3426,"null"
"791",12360,54.25,"2020-09-18 14:16:12.059",1.45,179,"47.48","여성",3425,"null"
"792",10423,45.75,"2020-09-18 14:16:12.059",1.9,198,"52.52","남성",3424,"null"
"793",544,2.4,"2020-09-17 15:15:49.887",0,0,"0.00","0-9",3412,"null"
"794",1255,5.54,"2020-09-17 15:15:49.886",0,0,"0.00","10-19",3411,"null"
"795",4631,20.44,"2020-09-17 15:15:49.886",0,0,"0.00","20-29",3410,"null"
"796",2768,12.22,"2020-09-17 15:15:49.886",0.07,2,"0.54","30-39",3409,"null"
"797",3023,13.34,"2020-09-17 15:15:49.886",0.13,4,"1.08","40-49",3408,"null"
"798",4180,18.45,"2020-09-17 15:15:49.886",0.41,17,"4.57","50-59",3407,"null"
"799",3558,15.7,"2020-09-17 15:15:49.886",1.18,42,"11.29","60-69",3406,"null"
"800",1780,7.86,"2020-09-17 15:15:49.886",6.4,114,"30.65","70-79",3405,"null"
"801",918,4.05,"2020-09-17 15:15:49.886",21.02,193,"51.88","80 이상",3404,"null"
"802",12291,54.25,"2020-09-17 15:15:49.886",1.44,177,"47.58","여성",3403,"null"
"803",10366,45.75,"2020-09-17 15:15:49.885",1.88,195,"52.42","남성",3402,"null"
"804",539,2.4,"2020-09-16 14:45:15.946",0,0,"0.00","0-9",3390,"null"
"805",1247,5.54,"2020-09-16 14:45:15.946",0,0,"0.00","10-19",3389,"null"
"806",4606,20.47,"2020-09-16 14:45:15.946",0,0,"0.00","20-29",3388,"null"
"807",2757,12.25,"2020-09-16 14:45:15.946",0.07,2,"0.54","30-39",3387,"null"
"808",3003,13.34,"2020-09-16 14:45:15.946",0.13,4,"1.09","40-49",3386,"null"
"809",4144,18.41,"2020-09-16 14:45:15.946",0.41,17,"4.63","50-59",3385,"null"
"810",3531,15.69,"2020-09-16 14:45:15.945",1.19,42,"11.44","60-69",3384,"null"
"811",1763,7.83,"2020-09-16 14:45:15.945",6.47,114,"31.06","70-79",3383,"null"
"812",914,4.06,"2020-09-16 14:45:15.945",20.57,188,"51.23","80 이상",3382,"null"
"813",12212,54.27,"2020-09-16 14:45:15.945",1.43,175,"47.68","여성",3381,"null"
"814",10292,45.73,"2020-09-16 14:45:15.945",1.87,192,"52.32","남성",3380,"null"
"815",538,2.4,"2020-09-15 14:27:01.58",0,0,"0.00","0-9",3379,"null"
"816",1244,5.56,"2020-09-15 14:27:01.579",0,0,"0.00","10-19",3378,"null"
"817",4592,20.51,"2020-09-15 14:27:01.579",0,0,"0.00","20-29",3377,"null"
"818",2748,12.27,"2020-09-15 14:27:01.579",0.07,2,"0.54","30-39",3376,"null"
"819",2986,13.34,"2020-09-15 14:27:01.578",0.13,4,"1.09","40-49",3375,"null"
"820",4122,18.41,"2020-09-15 14:27:01.578",0.41,17,"4.63","50-59",3374,"null"
"821",3506,15.66,"2020-09-15 14:27:01.577",1.2,42,"11.44","60-69",3373,"null"
"822",1745,7.79,"2020-09-15 14:27:01.577",6.53,114,"31.06","70-79",3372,"null"
"823",910,4.06,"2020-09-15 14:27:01.576",20.66,188,"51.23","80 이상",3371,"null"
"824",12166,54.33,"2020-09-15 14:27:01.576",1.44,175,"47.68","여성",3370,"null"
"825",10225,45.67,"2020-09-15 14:27:01.576",1.88,192,"52.32","남성",3369,"null"
"826",532,2.39,"2020-09-14 14:10:14.08",0,0,"0.00","0-9",3346,"null"
"827",1236,5.55,"2020-09-14 14:10:14.079",0,0,"0.00","10-19",3345,"null"
"828",4584,20.57,"2020-09-14 14:10:14.079",0,0,"0.00","20-29",3344,"null"
"829",2738,12.29,"2020-09-14 14:10:14.079",0.07,2,"0.55","30-39",3343,"null"
"830",2968,13.32,"2020-09-14 14:10:14.079",0.13,4,"1.10","40-49",3342,"null"
"831",4104,18.42,"2020-09-14 14:10:14.079",0.41,17,"4.68","50-59",3341,"null"
"832",3481,15.62,"2020-09-14 14:10:14.079",1.21,42,"11.57","60-69",3340,"null"
"833",1734,7.78,"2020-09-14 14:10:14.079",6.52,113,"31.13","70-79",3339,"null"
"834",908,4.07,"2020-09-14 14:10:14.079",20.37,185,"50.96","80 이상",3338,"null"
"835",12108,54.33,"2020-09-14 14:10:14.079",1.43,173,"47.66","여성",3337,"null"
"836",10177,45.67,"2020-09-14 14:10:14.078",1.87,190,"52.34","남성",3336,"null"
"837",526,2.38,"2020-09-13 15:11:00.268",0,0,"0.00","0-9",3324,"null"
"838",1230,5.58,"2020-09-13 15:11:00.268",0,0,"0.00","10-19",3323,"null"
"839",4543,20.6,"2020-09-13 15:11:00.267",0,0,"0.00","20-29",3322,"null"
"840",2713,12.3,"2020-09-13 15:11:00.267",0.07,2,"0.56","30-39",3321,"null"
"841",2946,13.36,"2020-09-13 15:11:00.267",0.14,4,"1.13","40-49",3320,"null"
"842",4061,18.41,"2020-09-13 15:11:00.267",0.42,17,"4.79","50-59",3319,"null"
"843",3425,15.53,"2020-09-13 15:11:00.267",1.23,42,"11.83","60-69",3318,"null"
"844",1710,7.75,"2020-09-13 15:11:00.267",6.37,109,"30.70","70-79",3317,"null"
"845",901,4.09,"2020-09-13 15:11:00.267",20.09,181,"50.99","80 이상",3316,"null"
"846",11992,54.37,"2020-09-13 15:11:00.267",1.41,169,"47.61","여성",3315,"null"
"847",10063,45.63,"2020-09-13 15:11:00.266",1.85,186,"52.39","남성",3314,"null"
"848",526,2.38,"2020-09-12 14:10:58.242",0,0,"0.00","0-9",3302,"null"
"849",1230,5.58,"2020-09-12 14:10:58.242",0,0,"0.00","10-19",3301,"null"
"850",4543,20.6,"2020-09-12 14:10:58.242",0,0,"0.00","20-29",3300,"null"
"851",2713,12.3,"2020-09-12 14:10:58.242",0.07,2,"0.56","30-39",3299,"null"
"852",2946,13.36,"2020-09-12 14:10:58.242",0.14,4,"1.13","40-49",3298,"null"
"853",4061,18.41,"2020-09-12 14:10:58.241",0.42,17,"4.79","50-59",3297,"null"
"854",3425,15.53,"2020-09-12 14:10:58.241",1.23,42,"11.83","60-69",3296,"null"
"855",1710,7.75,"2020-09-12 14:10:58.241",6.37,109,"30.70","70-79",3295,"null"
"856",901,4.09,"2020-09-12 14:10:58.241",20.09,181,"50.99","80 이상",3294,"null"
"857",11992,54.37,"2020-09-12 14:10:58.241",1.41,169,"47.61","여성",3293,"null"
"858",10063,45.63,"2020-09-12 14:10:58.241",1.85,186,"52.39","남성",3292,"null"
"859",522,2.38,"2020-09-11 14:46:43.636",0,0,"0.00","0-9",3280,"null"
"860",1225,5.59,"2020-09-11 14:46:43.636",0,0,"0.00","10-19",3279,"null"
"861",4527,20.65,"2020-09-11 14:46:43.636",0,0,"0.00","20-29",3278,"null"
"862",2701,12.32,"2020-09-11 14:46:43.636",0.07,2,"0.57","30-39",3277,"null"
"863",2928,13.36,"2020-09-11 14:46:43.636",0.14,4,"1.14","40-49",3276,"null"
"864",4027,18.37,"2020-09-11 14:46:43.636",0.4,16,"4.57","50-59",3275,"null"
"865",3396,15.49,"2020-09-11 14:46:43.636",1.24,42,"12.00","60-69",3274,"null"
"866",1696,7.74,"2020-09-11 14:46:43.635",6.37,108,"30.86","70-79",3273,"null"
"867",897,4.09,"2020-09-11 14:46:43.635",19.84,178,"50.86","80 이상",3272,"null"
"868",11937,54.46,"2020-09-11 14:46:43.635",1.38,165,"47.14","여성",3271,"null"
"869",9982,45.54,"2020-09-11 14:46:43.635",1.85,185,"52.86","남성",3270,"null"
"870",519,2.39,"2020-09-10 14:14:39.955",0,0,"0.00","0-9",3258,"null"
"871",1222,5.62,"2020-09-10 14:14:39.955",0,0,"0.00","10-19",3257,"null"
"872",4505,20.72,"2020-09-10 14:14:39.955",0,0,"0.00","20-29",3256,"null"
"873",2682,12.34,"2020-09-10 14:14:39.954",0.07,2,"0.58","30-39",3255,"null"
"874",2906,13.37,"2020-09-10 14:14:39.954",0.14,4,"1.16","40-49",3254,"null"
"875",3993,18.36,"2020-09-10 14:14:39.954",0.4,16,"4.62","50-59",3253,"null"
"876",3356,15.43,"2020-09-10 14:14:39.954",1.25,42,"12.14","60-69",3252,"null"
"877",1680,7.73,"2020-09-10 14:14:39.954",6.31,106,"30.64","70-79",3251,"null"
"878",880,4.05,"2020-09-10 14:14:39.954",20,176,"50.87","80 이상",3250,"null"
"879",11838,54.45,"2020-09-10 14:14:39.954",1.38,163,"47.11","여성",3249,"null"
"880",9905,45.55,"2020-09-10 14:14:39.954",1.85,183,"52.89","남성",3248,"null"
"881",507,2.35,"2020-09-09 14:14:23.456",0,0,"0.00","0-9",3236,"null"
"882",1218,5.64,"2020-09-09 14:14:23.455",0,0,"0.00","10-19",3235,"null"
"883",4492,20.81,"2020-09-09 14:14:23.455",0,0,"0.00","20-29",3234,"null"
"884",2669,12.36,"2020-09-09 14:14:23.455",0.07,2,"0.58","30-39",3233,"null"
"885",2889,13.38,"2020-09-09 14:14:23.455",0.14,4,"1.16","40-49",3232,"null"
"886",3964,18.36,"2020-09-09 14:14:23.455",0.4,16,"4.65","50-59",3231,"null"
"887",3312,15.34,"2020-09-09 14:14:23.455",1.27,42,"12.21","60-69",3230,"null"
"888",1668,7.73,"2020-09-09 14:14:23.455",6.29,105,"30.52","70-79",3229,"null"
"889",869,4.03,"2020-09-09 14:14:23.455",20.14,175,"50.87","80 이상",3228,"null"
"890",11759,54.47,"2020-09-09 14:14:23.455",1.38,162,"47.09","여성",3227,"null"
"891",9829,45.53,"2020-09-09 14:14:23.454",1.85,182,"52.91","남성",3226,"null"
"892",501,2.34,"2020-09-08 14:29:04.009",0,0,"0.00","0-9",3214,"null"
"893",1210,5.65,"2020-09-08 14:29:04.009",0,0,"0.00","10-19",3213,"null"
"894",4485,20.93,"2020-09-08 14:29:04.009",0,0,"0.00","20-29",3212,"null"
"895",2653,12.38,"2020-09-08 14:29:04.009",0.08,2,"0.59","30-39",3211,"null"
"896",2874,13.41,"2020-09-08 14:29:04.009",0.14,4,"1.17","40-49",3210,"null"
"897",3936,18.37,"2020-09-08 14:29:04.009",0.41,16,"4.69","50-59",3209,"null"
"898",3264,15.23,"2020-09-08 14:29:04.008",1.29,42,"12.32","60-69",3208,"null"
"899",1646,7.68,"2020-09-08 14:29:04.008",6.32,104,"30.50","70-79",3207,"null"
"900",863,4.03,"2020-09-08 14:29:04.008",20.05,173,"50.73","80 이상",3206,"null"
"901",11679,54.49,"2020-09-08 14:29:04.008",1.37,160,"46.92","여성",3205,"null"
"902",9753,45.51,"2020-09-08 14:29:04.008",1.86,181,"53.08","남성",3204,"null"
"903",496,2.33,"2020-09-07 14:15:24.137",0,0,"0.00","0-9",3192,"null"
"904",1202,5.64,"2020-09-07 14:15:24.137",0,0,"0.00","10-19",3191,"null"
"905",4473,21,"2020-09-07 14:15:24.137",0,0,"0.00","20-29",3190,"null"
"906",2636,12.38,"2020-09-07 14:15:24.137",0.08,2,"0.60","30-39",3189,"null"
"907",2857,13.42,"2020-09-07 14:15:24.137",0.14,4,"1.19","40-49",3188,"null"
"908",3902,18.32,"2020-09-07 14:15:24.136",0.41,16,"4.76","50-59",3187,"null"
"909",3238,15.2,"2020-09-07 14:15:24.136",1.3,42,"12.50","60-69",3186,"null"
"910",1632,7.66,"2020-09-07 14:15:24.136",6.25,102,"30.36","70-79",3185,"null"
"911",860,4.04,"2020-09-07 14:15:24.136",19.77,170,"50.60","80 이상",3184,"null"
"912",11616,54.55,"2020-09-07 14:15:24.136",1.36,158,"47.02","여성",3183,"null"
"913",9680,45.45,"2020-09-07 14:15:24.136",1.84,178,"52.98","남성",3182,"null"
"914",493,2.33,"2020-09-06 15:49:50.83",0,0,"0.00","0-9",3170,"null"
"915",1197,5.65,"2020-09-06 15:49:50.83",0,0,"0.00","10-19",3169,"null"
"916",4460,21.06,"2020-09-06 15:49:50.83",0,0,"0.00","20-29",3168,"null"
"917",2619,12.37,"2020-09-06 15:49:50.83",0.08,2,"0.60","30-39",3167,"null"
"918",2841,13.42,"2020-09-06 15:49:50.83",0.14,4,"1.20","40-49",3166,"null"
"919",3880,18.32,"2020-09-06 15:49:50.83",0.41,16,"4.79","50-59",3165,"null"
"920",3217,15.19,"2020-09-06 15:49:50.829",1.31,42,"12.57","60-69",3164,"null"
"921",1612,7.61,"2020-09-06 15:49:50.829",6.27,101,"30.24","70-79",3163,"null"
"922",858,4.05,"2020-09-06 15:49:50.829",19.7,169,"50.60","80 이상",3162,"null"
"923",11563,54.6,"2020-09-06 15:49:50.829",1.37,158,"47.31","여성",3161,"null"
"924",9614,45.4,"2020-09-06 15:49:50.829",1.83,176,"52.69","남성",3160,"null"
"925",485,2.31,"2020-09-05 15:01:09.88",0,0,"0.00","0-9",3159,"null"
"926",1194,5.68,"2020-09-05 15:01:09.88",0,0,"0.00","10-19",3158,"null"
"927",4441,21.14,"2020-09-05 15:01:09.88",0,0,"0.00","20-29",3157,"null"
"928",2604,12.39,"2020-09-05 15:01:09.88",0.08,2,"0.60","30-39",3156,"null"
"929",2816,13.4,"2020-09-05 15:01:09.879",0.14,4,"1.20","40-49",3155,"null"
"930",3845,18.3,"2020-09-05 15:01:09.879",0.42,16,"4.80","50-59",3154,"null"
"931",3178,15.13,"2020-09-05 15:01:09.879",1.32,42,"12.61","60-69",3153,"null"
"932",1596,7.6,"2020-09-05 15:01:09.879",6.27,100,"30.03","70-79",3152,"null"
"933",851,4.05,"2020-09-05 15:01:09.879",19.86,169,"50.75","80 이상",3151,"null"
"934",11475,54.62,"2020-09-05 15:01:09.879",1.37,157,"47.15","여성",3150,"null"
"935",9535,45.38,"2020-09-05 15:01:09.879",1.85,176,"52.85","남성",3149,"null"
"936",482,2.31,"2020-09-04 14:25:43.611",0,0,"0.00","0-9",3126,"null"
"937",1188,5.7,"2020-09-04 14:25:43.61",0,0,"0.00","10-19",3125,"null"
"938",4427,21.24,"2020-09-04 14:25:43.61",0,0,"0.00","20-29",3124,"null"
"939",2585,12.4,"2020-09-04 14:25:43.61",0.08,2,"0.60","30-39",3123,"null"
"940",2797,13.42,"2020-09-04 14:25:43.61",0.14,4,"1.21","40-49",3122,"null"
"941",3807,18.27,"2020-09-04 14:25:43.61",0.42,16,"4.83","50-59",3121,"null"
"942",3136,15.05,"2020-09-04 14:25:43.61",1.34,42,"12.69","60-69",3120,"null"
"943",1578,7.57,"2020-09-04 14:25:43.61",6.34,100,"30.21","70-79",3119,"null"
"944",842,4.04,"2020-09-04 14:25:43.61",19.83,167,"50.45","80 이상",3118,"null"
"945",11389,54.64,"2020-09-04 14:25:43.61",1.37,156,"47.13","여성",3117,"null"
"946",9453,45.36,"2020-09-04 14:25:43.609",1.85,175,"52.87","남성",3116,"null"
"947",473,2.29,"2020-09-03 14:13:42.025",0,0,"0.00","0-9",3104,"null"
"948",1181,5.72,"2020-09-03 14:13:42.025",0,0,"0.00","10-19",3103,"null"
"949",4410,21.36,"2020-09-03 14:13:42.025",0,0,"0.00","20-29",3102,"null"
"950",2561,12.41,"2020-09-03 14:13:42.025",0.08,2,"0.61","30-39",3101,"null"
"951",2770,13.42,"2020-09-03 14:13:42.025",0.14,4,"1.22","40-49",3100,"null"
"952",3768,18.25,"2020-09-03 14:13:42.025",0.42,16,"4.86","50-59",3099,"null"
"953",3098,15.01,"2020-09-03 14:13:42.025",1.36,42,"12.77","60-69",3098,"null"
"954",1556,7.54,"2020-09-03 14:13:42.025",6.36,99,"30.09","70-79",3097,"null"
"955",827,4.01,"2020-09-03 14:13:42.024",20.07,166,"50.46","80 이상",3096,"null"
"956",11285,54.66,"2020-09-03 14:13:42.024",1.37,155,"47.11","여성",3095,"null"
